time(ms);FP;FP(%);FPL_CMD;FRP_A(kPa);FRP_A(kPa);FRP_A_CMD(kPa);LP_FUEL_SW;FLPA(kPa);FLP_DSD(kPa);FLP_V(V);FP_RELAY;FRP(kPa);FRP_DSD(kPa)
0;On;31.87;-;-;-;-;-;-;-;-;-;-;-
148;On;31.87;Off;-;-;-;-;-;-;-;On;-;-
194;On;31.87;Off;75456.0;-;-;-;-;-;-;On;-;-
224;On;31.87;Off;75752.0;75460.0;75260.0;-;-;-;-;On;-;-
269;On;31.87;Off;76048.0;75460.0;75260.0;Not Low;-;-;-;On;-;-
328;On;31.87;Off;76336.0;75460.0;75260.0;Not Low;413.5;-;-;On;-;-
374;On;31.87;Off;76632.0;75460.0;75260.0;Not Low;413.5;765.0;-;On;-;-
404;On;31.87;Off;76928.0;75460.0;75260.0;Not Low;413.5;765.0;2.15;On;-;-
449;On;31.87;Off;77224.0;75460.0;75260.0;Not Low;413.5;765.0;2.15;On;77040.0;-
494;On;31.87;Off;77520.0;75460.0;75260.0;Not Low;413.5;765.0;2.15;On;77480.0;77200.0
540;On;31.87;Off;77808.0;75460.0;75260.0;Not Low;414.0;765.0;2.15;On;77920.0;77800.0
569;On;31.87;Off;78104.0;75460.0;75260.0;Not Low;414.0;765.0;2.15;On;78360.0;78390.0
615;On;31.87;Off;78400.0;75460.0;75260.0;Not Low;414.0;765.0;2.15;On;78800.0;78990.0
675;On;31.87;Off;79024.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;79240.0;79580.0
706;On;31.87;Off;79640.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;79680.0;80180.0
750;On;31.87;Off;80264.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;80120.0;80780.0
828;On;31.87;Off;80880.0;78250.0;78320.0;Not Low;414.0;765.0;2.15;On;80560.0;81370.0
869;On;31.87;Off;81504.0;78250.0;78320.0;Not Low;413.5;765.0;2.15;On;81000.0;81970.0
916;On;31.87;Off;82128.0;78250.0;78320.0;Not Low;413.5;765.0;2.15;On;81440.0;82560.0
945;On;31.87;Off;82744.0;78250.0;78320.0;Not Low;413.5;765.0;2.15;On;82040.0;83160.0
989;On;31.87;Off;83368.0;78250.0;78320.0;Not Low;413.0;765.0;2.15;On;82630.0;83550.0
1033;On;31.87;Off;83984.0;78250.0;78320.0;Not Low;413.0;765.0;2.15;On;83230.0;83940.0
1064;On;31.87;Off;84608.0;78250.0;78320.0;Not Low;413.0;765.0;2.16;On;83820.0;84330.0
1110;On;31.87;Off;84848.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;84420.0;84720.0
1156;On;31.87;Off;85088.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;85010.0;85110.0
1185;On;31.87;Off;85328.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;85610.0;85500.0
1229;On;31.87;Off;85568.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;86200.0;85890.0
1275;On;31.87;Off;85800.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;86800.0;86280.0
1306;On;31.87;Off;86040.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;87390.0;86670.0
1349;On;31.87;Off;86280.0;86200.0;86060.0;Not Low;412.5;765.0;2.16;On;87030.0;87060.0
1394;On;31.87;Off;86520.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;86670.0;86330.0
1439;On;31.87;Off;86760.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;86320.0;85600.0
1485;On;31.87;Off;87000.0;86200.0;86060.0;Not Low;413.0;765.0;2.16;On;85960.0;84870.0
1543;On;31.87;Off;86008.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;85600.0;84140.0
1591;On;31.87;Off;85008.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;85240.0;83410.0
1650;On;31.87;Off;84016.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;84880.0;82680.0
1710;On;31.87;Off;83016.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;84530.0;81950.0
1739;On;31.87;Off;82024.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;84170.0;81220.0
1800;On;31.87;Off;81024.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;83810.0;80490.0
1845;On;31.87;Off;80032.0;85400.0;85310.0;Not Low;413.0;765.0;2.16;On;83190.0;79760.0
1890;On;31.87;Off;79032.0;85400.0;85310.0;Not Low;412.5;765.0;2.16;On;82570.0;79520.0
1948;On;31.87;Off;78040.0;85400.0;85310.0;Not Low;412.5;765.0;2.16;On;81950.0;79280.0
1995;On;31.87;Off;77040.0;85400.0;85310.0;Not Low;412.5;765.0;2.16;On;81330.0;79050.0
2040;On;31.87;Off;77000.0;77470.0;78630.0;Not Low;412.5;765.0;2.16;On;80710.0;78810.0
2073;On;31.87;Off;76960.0;77470.0;78630.0;Not Low;412.5;765.0;2.15;On;80090.0;78570.0
2115;On;31.87;Off;76920.0;77470.0;78630.0;Not Low;412.5;765.0;2.15;On;79470.0;78330.0
2145;On;31.87;Off;76880.0;77470.0;78630.0;Not Low;412.5;765.0;2.15;On;78850.0;78090.0
2190;On;31.87;Off;76840.0;77470.0;78630.0;Not Low;412.5;765.0;2.15;On;78230.0;77860.0
2234;On;31.87;Off;76808.0;77470.0;78630.0;Not Low;413.0;765.0;2.15;On;77610.0;77620.0
2265;On;31.87;Off;76768.0;77470.0;78630.0;Not Low;413.0;765.0;2.15;On;77510.0;77380.0
2295;On;31.87;Off;76728.0;77470.0;78630.0;Not Low;413.0;765.0;2.16;On;77420.0;77380.0
2340;On;31.87;Off;76688.0;77470.0;78630.0;Not Low;413.0;765.0;2.16;On;77320.0;77380.0
2370;On;31.87;Off;76648.0;77470.0;78630.0;Not Low;413.0;765.0;2.16;On;77230.0;77380.0
2415;On;31.87;Off;76744.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;77130.0;77380.0
2446;On;31.87;Off;76840.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;77030.0;77380.0
2490;On;31.87;Off;76936.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;76940.0;77380.0
2534;On;31.87;Off;77032.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;76840.0;77380.0
2565;On;31.87;Off;77128.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;76750.0;77380.0
2595;On;31.87;Off;77224.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;76650.0;77380.0
2640;On;31.87;Off;77320.0;77040.0;76750.0;Not Low;413.5;765.0;2.16;On;76730.0;77380.0
2670;On;31.87;Off;77416.0;77040.0;76750.0;Not Low;414.0;765.0;2.16;On;76810.0;77290.0
2715;On;31.87;Off;77512.0;77040.0;76750.0;Not Low;414.0;765.0;2.16;On;76900.0;77210.0
2745;On;31.87;Off;77608.0;77040.0;76750.0;Not Low;414.0;765.0;2.16;On;76980.0;77120.0
2790;On;31.87;Off;77512.0;77470.0;77690.0;Not Low;414.0;765.0;2.15;On;77060.0;77030.0
2851;On;31.87;Off;77416.0;77470.0;77690.0;Not Low;414.0;765.0;2.15;On;77140.0;76950.0
2894;On;31.87;Off;77320.0;77470.0;77690.0;Not Low;414.0;765.0;2.15;On;77220.0;76860.0
2940;On;31.87;Off;77224.0;77470.0;77690.0;Not Low;414.5;765.0;2.15;On;77310.0;76770.0
2970;On;31.87;Off;77128.0;77470.0;77690.0;Not Low;415.0;765.0;2.15;On;77390.0;76680.0
3014;On;31.87;Off;77032.0;77470.0;77690.0;Not Low;415.5;765.0;2.16;On;77470.0;76600.0
3060;On;31.87;Off;76936.0;77470.0;77690.0;Not Low;416.0;765.0;2.17;On;73250.0;76510.0
3090;On;31.87;Off;76840.0;77470.0;77690.0;Not Low;416.5;765.0;2.18;On;69020.0;72750.0
3134;On;31.88;Off;76744.0;77470.0;77690.0;Not Low;417.0;765.0;2.19;On;64800.0;68980.0
3165;On;31.89;Off;76648.0;77470.0;77690.0;Not Low;417.5;765.0;2.20;On;60580.0;65220.0
3210;On;31.90;Off;72704.0;74400.0;62310.0;Not Low;418.0;765.0;2.21;On;56360.0;61460.0
3255;On;31.91;Off;68760.0;74400.0;62310.0;Not Low;418.5;765.0;2.22;On;52130.0;57700.0
3285;On;31.92;Off;64824.0;74400.0;62310.0;Not Low;419.0;765.0;2.23;On;47910.0;53930.0
3329;On;31.93;Off;60880.0;74400.0;62310.0;Not Low;420.0;765.0;2.24;On;43690.0;50170.0
3375;On;31.94;Off;56936.0;74400.0;62310.0;Not Low;420.5;765.0;2.25;On;39460.0;46410.0
3448;On;31.95;Off;52992.0;74400.0;62310.0;Not Low;421.5;765.0;2.25;On;35240.0;42640.0
3510;On;31.96;Off;49048.0;74400.0;62310.0;Not Low;422.5;765.0;2.25;On;35360.0;38880.0
3554;On;31.98;Off;45112.0;74400.0;62310.0;Not Low;423.5;765.0;2.26;On;35480.0;38790.0
3585;On;32.90;Off;41168.0;74400.0;62310.0;Not Low;424.0;765.0;2.26;On;35600.0;38690.0
3630;On;33.83;Off;37224.0;74400.0;62310.0;Not Low;425.0;765.0;2.26;On;35720.0;38600.0
3659;On;34.76;Off;37104.0;36820.0;38590.0;Not Low;426.0;765.0;2.26;On;35830.0;38510.0
3705;On;35.69;Off;36984.0;36820.0;38590.0;Not Low;426.5;765.0;2.27;On;35950.0;38410.0
3749;On;36.62;Off;36864.0;36820.0;38590.0;Not Low;427.5;765.0;2.27;On;36070.0;38320.0
3780;On;37.55;Off;36744.0;36820.0;38590.0;Not Low;431.0;765.0;2.27;On;36190.0;38230.0
3825;On;38.48;Off;36624.0;36820.0;38590.0;Not Low;434.5;765.0;2.28;On;36310.0;38140.0
3870;On;39.41;Off;36504.0;36820.0;38590.0;Not Low;438.5;765.0;2.28;On;36430.0;38040.0
3914;On;40.34;Off;36384.0;36820.0;38590.0;Not Low;442.0;765.0;2.29;On;36360.0;37950.0
3945;On;41.27;Off;36264.0;36820.0;38590.0;Not Low;445.5;765.0;2.29;On;36290.0;37870.0
4003;On;41.53;Off;36144.0;36820.0;38590.0;Not Low;449.0;765.0;2.30;On;36220.0;37790.0
4049;On;41.78;Off;36024.0;36820.0;38590.0;Not Low;452.5;765.0;2.30;On;36150.0;37710.0
4079;On;42.05;Off;35944.0;36030.0;37770.0;Not Low;456.5;765.0;2.31;On;36080.0;37630.0
4111;On;42.31;Off;35864.0;36030.0;37770.0;Not Low;460.0;765.0;2.32;On;36010.0;37550.0
4155;On;42.57;Off;35792.0;36030.0;37770.0;Not Low;463.5;765.0;2.32;On;35940.0;37480.0
4184;On;42.83;Off;35712.0;36030.0;37770.0;Not Low;464.0;765.0;2.33;On;35870.0;37400.0
4229;On;43.08;Off;35632.0;36030.0;37770.0;Not Low;464.0;765.0;2.33;On;35800.0;37320.0
4259;On;43.35;Off;35552.0;36030.0;37770.0;Not Low;464.5;765.0;2.33;On;35730.0;37240.0
4304;On;43.61;Off;35472.0;36030.0;37770.0;Not Low;465.0;765.0;2.34;On;35640.0;37160.0
4349;On;43.87;Off;35400.0;36030.0;37770.0;Not Low;465.0;765.0;2.34;On;35550.0;36950.0
4379;On;43.91;Off;35320.0;36030.0;37770.0;Not Low;465.5;765.0;2.34;On;35460.0;36740.0
4424;On;43.95;Off;35240.0;36030.0;37770.0;Not Low;466.0;765.0;2.34;On;35370.0;36530.0
4454;On;43.99;Off;35080.0;35240.0;36590.0;Not Low;466.5;765.0;2.34;On;35290.0;36320.0
4486;On;44.04;Off;34920.0;35240.0;36590.0;Not Low;466.5;765.0;2.35;On;35200.0;36120.0
4529;On;44.08;Off;34760.0;35240.0;36590.0;Not Low;467.0;765.0;2.35;On;35110.0;35910.0
4560;On;44.13;Off;34600.0;35240.0;36590.0;Not Low;464.5;765.0;2.35;On;35020.0;35700.0
4604;On;44.17;Off;34448.0;35240.0;36590.0;Not Low;461.5;765.0;2.35;On;34930.0;35490.0
4634;On;44.21;Off;34288.0;35240.0;36590.0;Not Low;459.0;765.0;2.34;On;34840.0;35280.0
4665;On;44.25;Off;34128.0;35240.0;36590.0;Not Low;456.5;765.0;2.33;On;34440.0;35070.0
4694;On;44.30;Off;33968.0;35240.0;36590.0;Not Low;453.5;765.0;2.32;On;34040.0;34490.0
4725;On;43.58;Off;33808.0;35240.0;36590.0;Not Low;451.0;765.0;2.31;On;33650.0;33910.0
4771;On;42.86;Off;33648.0;35240.0;36590.0;Not Low;448.5;765.0;2.29;On;33250.0;33340.0
4814;On;42.14;Off;33208.0;32460.0;32550.0;Not Low;446.0;765.0;2.28;On;32850.0;32760.0
4859;On;41.42;Off;32768.0;32460.0;32550.0;Not Low;443.0;765.0;2.27;On;32450.0;32180.0
4890;On;40.70;Off;32328.0;32460.0;32550.0;Not Low;440.5;765.0;2.26;On;32050.0;31600.0
4920;On;39.98;Off;31888.0;32460.0;32550.0;Not Low;440.0;765.0;2.25;On;31660.0;31020.0
4950;On;39.26;Off;31448.0;32460.0;32550.0;Not Low;439.0;762.0;2.24;On;31260.0;30450.0
4981;On;38.54;Off;31016.0;32460.0;32550.0;Not Low;438.5;762.0;2.24;On;30860.0;29870.0
5010;On;37.83;Off;30576.0;32460.0;32550.0;Not Low;437.5;759.0;2.24;On;30660.0;29290.0
5039;On;37.11;Off;30136.0;32460.0;32550.0;Not Low;437.0;756.0;2.23;On;30470.0;29230.0
5069;On;36.91;Off;29696.0;32460.0;32550.0;Not Low;436.0;756.0;2.23;On;30270.0;29180.0
5130;On;36.72;Off;29256.0;32460.0;32550.0;Not Low;435.5;753.0;2.23;On;30070.0;29120.0
5160;On;36.53;Off;29136.0;28890.0;28980.0;Not Low;434.5;750.0;2.23;On;29870.0;29060.0
5192;On;36.34;Off;29024.0;28890.0;28980.0;Not Low;434.0;747.0;2.23;On;29680.0;29010.0
5234;On;36.15;Off;28904.0;28890.0;28980.0;Not Low;433.0;747.0;2.23;On;29480.0;28950.0
5264;On;35.96;Off;28792.0;28890.0;28980.0;Not Low;432.0;744.0;2.23;On;29280.0;28890.0
5294;On;35.76;Off;28672.0;28890.0;28980.0;Not Low;431.0;741.0;2.23;On;29090.0;28830.0
5324;On;35.57;Off;28552.0;28890.0;28980.0;Not Low;430.0;738.0;2.22;On;28890.0;28780.0
5369;On;35.38;Off;28440.0;28890.0;28980.0;Not Low;429.0;732.0;2.22;On;28770.0;28720.0
5415;On;35.19;Off;28320.0;28890.0;28980.0;Not Low;428.0;729.0;2.21;On;28650.0;28700.0
5444;On;34.92;Off;28208.0;28890.0;28980.0;Not Low;426.5;726.0;2.21;On;28530.0;28670.0
5489;On;34.64;Off;28088.0;28890.0;28980.0;Not Low;425.5;723.0;2.20;On;28410.0;28650.0
5519;On;34.38;Off;28048.0;27700.0;28620.0;Not Low;424.5;720.0;2.20;On;28300.0;28620.0
5551;On;34.10;Off;28008.0;27700.0;28620.0;Not Low;423.5;714.0;2.20;On;28180.0;28600.0
5580;On;33.83;Off;27968.0;27700.0;28620.0;Not Low;422.5;711.0;2.19;On;28060.0;28570.0
5611;On;33.56;Off;27928.0;27700.0;28620.0;Not Low;421.5;708.0;2.19;On;27940.0;28550.0
5639;On;33.29;Off;27888.0;27700.0;28620.0;Not Low;420.5;705.0;2.18;On;27820.0;28520.0
5669;On;33.02;Off;27856.0;27700.0;28620.0;Not Low;419.5;699.0;2.18;On;27700.0;28500.0
5699;On;32.75;Off;27816.0;27700.0;28620.0;Not Low;418.5;696.0;2.18;On;28020.0;28470.0
5730;On;32.48;Off;27776.0;27700.0;28620.0;Not Low;417.5;690.0;2.18;On;28330.0;28450.0
5760;On;32.42;Off;27736.0;27700.0;28620.0;Not Low;416.0;687.0;2.17;On;28650.0;28420.0
5790;On;32.35;Off;27696.0;27700.0;28620.0;Not Low;415.0;684.0;2.17;On;28960.0;28400.0
5836;On;32.29;Off;27856.0;27290.0;28310.0;Not Low;414.0;678.0;2.17;On;29280.0;28380.0
5866;On;32.23;Off;28008.0;27290.0;28310.0;Not Low;413.0;675.0;2.17;On;29600.0;28360.0
5895;On;32.17;Off;28168.0;27290.0;28310.0;Not Low;412.0;669.0;2.17;On;29910.0;28330.0
5924;On;32.11;Off;28320.0;27290.0;28310.0;Not Low;412.5;666.0;2.16;On;30230.0;28310.0
5970;On;32.05;Off;28480.0;27290.0;28310.0;Not Low;413.0;666.0;2.16;On;30540.0;28290.0
6001;On;31.99;Off;28632.0;27290.0;28310.0;Not Low;413.5;663.0;2.16;On;30860.0;28260.0
6030;On;31.93;Off;28792.0;27290.0;28310.0;Not Low;414.0;663.0;2.16;On;30620.0;28240.0
6076;On;31.87;Off;28944.0;27290.0;28310.0;Not Low;414.0;660.0;2.16;On;30390.0;28230.0
6107;On;31.87;Off;29104.0;27290.0;28310.0;Not Low;414.5;660.0;2.16;On;30150.0;28220.0
6163;On;31.87;Off;29256.0;27290.0;28310.0;Not Low;415.0;657.0;2.16;On;29920.0;28200.0
6209;On;31.87;Off;29184.0;29260.0;28200.0;Not Low;415.5;657.0;2.16;On;29680.0;28190.0
6270;On;31.87;Off;29104.0;29260.0;28200.0;Not Low;416.0;654.0;2.16;On;29440.0;28180.0
6315;On;31.87;Off;29032.0;29260.0;28200.0;Not Low;416.5;654.0;2.16;On;29210.0;28170.0
6344;On;31.87;Off;28952.0;29260.0;28200.0;Not Low;416.5;651.0;2.17;On;28970.0;28160.0
6390;On;31.87;Off;28880.0;29260.0;28200.0;Not Low;416.5;648.0;2.17;On;28740.0;28140.0
6435;On;31.87;Off;28800.0;29260.0;28200.0;Not Low;416.5;648.0;2.17;On;28500.0;28130.0
6465;On;31.87;Off;28728.0;29260.0;28200.0;Not Low;416.5;645.0;2.17;On;28510.0;28120.0
6510;On;31.87;Off;28648.0;29260.0;28200.0;Not Low;416.5;642.0;2.17;On;28510.0;28120.0
6554;On;31.87;Off;28576.0;29260.0;28200.0;Not Low;416.5;642.0;2.17;On;28520.0;28120.0
6585;On;31.87;Off;28496.0;29260.0;28200.0;Not Low;416.5;639.0;2.17;On;28520.0;28120.0
6630;On;31.87;Off;28456.0;28500.0;28100.0;Not Low;416.5;636.0;2.17;On;28530.0;28120.0
6674;On;31.87;Off;28416.0;28500.0;28100.0;Not Low;416.5;633.0;2.17;On;28540.0;28110.0
6705;On;31.87;Off;28376.0;28500.0;28100.0;Not Low;416.5;633.0;2.17;On;28540.0;28110.0
6750;On;31.87;Off;28336.0;28500.0;28100.0;Not Low;416.5;630.0;2.17;On;28550.0;28110.0
6780;On;31.87;Off;28296.0;28500.0;28100.0;Not Low;416.5;630.0;2.17;On;28550.0;28110.0
6810;On;31.87;Off;28248.0;28500.0;28100.0;Not Low;416.5;627.0;2.17;On;28560.0;28110.0
6840;On;31.87;Off;28208.0;28500.0;28100.0;Not Low;416.5;627.0;2.17;On;28520.0;28110.0
6870;On;31.87;Off;28168.0;28500.0;28100.0;Not Low;416.0;627.0;2.17;On;28480.0;28120.0
6899;On;31.87;Off;28128.0;28500.0;28100.0;Not Low;416.0;624.0;2.17;On;28440.0;28130.0
6930;On;31.87;Off;28088.0;28500.0;28100.0;Not Low;416.0;624.0;2.17;On;28400.0;28130.0
6989;On;31.87;Off;28128.0;28090.0;28150.0;Not Low;416.0;624.0;2.17;On;28360.0;28140.0
7035;On;31.87;Off;28168.0;28090.0;28150.0;Not Low;416.0;624.0;2.17;On;28320.0;28150.0
7065;On;31.87;Off;28208.0;28090.0;28150.0;Not Low;416.0;621.0;2.17;On;28280.0;28160.0
7110;On;31.87;Off;28248.0;28090.0;28150.0;Not Low;416.0;621.0;2.17;On;28240.0;28170.0
7154;On;31.87;Off;28288.0;28090.0;28150.0;Not Low;416.0;621.0;2.17;On;28200.0;28170.0
7202;On;31.87;Off;28336.0;28090.0;28150.0;Not Low;416.0;621.0;2.17;On;28160.0;28180.0
7245;On;31.87;Off;28376.0;28090.0;28150.0;Not Low;416.0;621.0;2.17;On;28190.0;28190.0
7289;On;31.87;Off;28416.0;28090.0;28150.0;Not Low;416.5;621.0;2.17;On;28230.0;28220.0
7348;On;31.87;Off;28456.0;28090.0;28150.0;Not Low;416.5;621.0;2.17;On;28260.0;28240.0
7380;On;31.87;Off;28496.0;28090.0;28150.0;Not Low;416.5;621.0;2.17;On;28300.0;28270.0
7424;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.17;On;28330.0;28290.0
7471;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.17;On;28360.0;28320.0
7502;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.16;On;28400.0;28350.0
7545;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.16;On;28430.0;28370.0
7591;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.16;On;28470.0;28400.0
7636;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.16;On;28500.0;28420.0
7668;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.5;621.0;2.16;On;28500.0;28450.0
7696;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.0;621.0;2.17;On;28500.0;28440.0
7742;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.0;618.0;2.17;On;28500.0;28430.0
7772;On;31.87;Off;28496.0;28500.0;28230.0;Not Low;416.0;618.0;2.17;On;28500.0;28420.0
7801;On;31.87;Off;28456.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28410.0
7848;On;31.87;Off;28416.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28400.0
7891;On;31.87;Off;28376.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28390.0
7936;On;31.87;Off;28336.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28380.0
7966;On;31.87;Off;28296.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28370.0
7996;On;31.87;Off;28248.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28360.0
8041;On;31.87;Off;28208.0;28090.0;28460.0;Not Low;416.0;618.0;2.17;On;28500.0;28350.0
8071;On;31.87;Off;28168.0;28090.0;28460.0;Not Low;416.5;618.0;2.17;On;28500.0;28380.0
8102;On;31.87;Off;28128.0;28090.0;28460.0;Not Low;416.5;621.0;2.17;On;28500.0;28400.0
8147;On;31.87;Off;28088.0;28090.0;28460.0;Not Low;416.5;621.0;2.17;On;28500.0;28430.0
8191;On;31.87;Off;28168.0;28090.0;28400.0;Not Low;416.5;621.0;2.17;On;28500.0;28450.0
8238;On;31.87;Off;28248.0;28090.0;28400.0;Not Low;416.5;621.0;2.17;On;28500.0;28480.0
8267;On;31.87;Off;28328.0;28090.0;28400.0;Not Low;416.5;621.0;2.17;On;28500.0;28510.0
8312;On;31.87;Off;28408.0;28090.0;28400.0;Not Low;416.5;621.0;2.17;On;28500.0;28530.0
8341;On;31.87;Off;28488.0;28090.0;28400.0;Not Low;416.5;624.0;2.17;On;28500.0;28560.0
8386;On;31.87;Off;28568.0;28090.0;28400.0;Not Low;416.5;630.0;2.17;On;28500.0;28580.0
8431;On;31.87;Off;28648.0;28090.0;28400.0;Not Low;416.5;633.0;2.17;On;28630.0;28610.0
8462;On;31.87;Off;28728.0;28090.0;28400.0;Not Low;417.0;636.0;2.16;On;28750.0;29010.0
8506;On;31.87;Off;28808.0;28090.0;28400.0;Not Low;417.0;639.0;2.16;On;28880.0;29420.0
8551;On;31.87;Off;28888.0;28090.0;28400.0;Not Low;417.0;645.0;2.16;On;29000.0;29820.0
8582;On;31.87;Off;29288.0;28890.0;28920.0;Not Low;417.0;648.0;2.16;On;29130.0;30220.0
8626;On;31.87;Off;29680.0;28890.0;28920.0;Not Low;417.0;651.0;2.16;On;29250.0;30620.0
8670;On;31.87;Off;30080.0;28890.0;28920.0;Not Low;417.0;657.0;2.16;On;29380.0;31030.0
8716;On;31.87;Off;30472.0;28890.0;28920.0;Not Low;417.0;660.0;2.16;On;29500.0;31430.0
8746;On;31.87;Off;30872.0;28890.0;28920.0;Not Low;417.0;669.0;2.16;On;29630.0;31830.0
8791;On;31.87;Off;31264.0;28890.0;28920.0;Not Low;416.5;675.0;2.16;On;29750.0;32240.0
8836;On;31.87;Off;31664.0;28890.0;28920.0;Not Low;416.5;684.0;2.16;On;30180.0;32640.0
8867;On;31.87;Off;32056.0;28890.0;28920.0;Not Low;416.5;690.0;2.16;On;30610.0;32850.0
8911;On;31.87;Off;32456.0;28890.0;28920.0;Not Low;416.5;699.0;2.16;On;31040.0;33050.0
8941;On;31.87;Off;32848.0;28890.0;28920.0;Not Low;416.5;705.0;2.16;On;31470.0;33260.0
8972;On;31.87;Off;33088.0;33260.0;33390.0;Not Low;416.0;714.0;2.16;On;31900.0;33460.0
9016;On;31.87;Off;33328.0;33260.0;33390.0;Not Low;416.0;720.0;2.16;On;32320.0;33670.0
9047;On;31.87;Off;33568.0;33260.0;33390.0;Not Low;416.0;729.0;2.17;On;32750.0;33870.0
9091;On;31.87;Off;33808.0;33260.0;33390.0;Not Low;416.0;735.0;2.17;On;33180.0;34080.0
9121;On;31.87;Off;34040.0;33260.0;33390.0;Not Low;416.0;738.0;2.17;On;33610.0;34280.0
9152;On;31.87;Off;34280.0;33260.0;33390.0;Not Low;416.0;741.0;2.17;On;34040.0;34490.0
9181;On;31.87;Off;34520.0;33260.0;33390.0;Not Low;416.0;744.0;2.17;On;34240.0;34690.0
9225;On;31.87;Off;34760.0;33260.0;33390.0;Not Low;416.0;747.0;2.16;On;34440.0;34810.0
9271;On;31.87;Off;35000.0;33260.0;33390.0;Not Low;416.0;750.0;2.16;On;34640.0;34920.0
9302;On;31.87;Off;35240.0;33260.0;33390.0;Not Low;416.0;753.0;2.16;On;34840.0;35040.0
9330;On;31.87;Off;35320.0;35240.0;35500.0;Not Low;416.0;756.0;2.16;On;35030.0;35160.0
9376;On;31.87;Off;35400.0;35240.0;35500.0;Not Low;416.0;759.0;2.16;On;35230.0;35270.0
9406;On;31.87;Off;35472.0;35240.0;35500.0;Not Low;416.0;762.0;2.16;On;35430.0;35390.0
9436;On;31.87;Off;35552.0;35240.0;35500.0;Not Low;416.0;765.0;2.16;On;35630.0;35510.0
9467;On;31.87;Off;35632.0;35240.0;35500.0;Not Low;416.0;765.0;2.16;On;35830.0;35630.0
9496;On;31.87;Off;35712.0;35240.0;35500.0;Not Low;416.0;765.0;2.16;On;36030.0;35740.0
9527;On;31.87;Off;35792.0;35240.0;35500.0;Not Low;416.0;765.0;2.16;On;35910.0;35860.0
9571;On;31.87;Off;35864.0;35240.0;35500.0;Not Low;416.5;765.0;2.16;On;35790.0;35730.0
9602;On;31.87;Off;35944.0;35240.0;35500.0;Not Low;416.5;765.0;2.16;On;35670.0;35610.0
9645;On;31.87;Off;36024.0;35240.0;35500.0;Not Low;416.5;765.0;2.16;On;35550.0;35480.0
9691;On;31.87;Off;35904.0;36030.0;35360.0;Not Low;416.5;765.0;2.16;On;35440.0;35360.0
9737;On;31.87;Off;35784.0;36030.0;35360.0;Not Low;416.5;765.0;2.16;On;35320.0;35230.0
9767;On;31.87;Off;35672.0;36030.0;35360.0;Not Low;416.5;765.0;2.16;On;35200.0;35100.0
9811;On;31.87;Off;35552.0;36030.0;35360.0;Not Low;416.5;765.0;2.16;On;35080.0;34980.0
9856;On;31.87;Off;35432.0;36030.0;35360.0;Not Low;416.5;765.0;2.16;On;34960.0;34850.0
9887;On;31.87;Off;35312.0;36030.0;35360.0;Not Low;416.5;765.0;2.16;On;34840.0;34730.0
9931;On;31.87;Off;35192.0;36030.0;35360.0;Not Low;416.5;765.0;2.17;On;34840.0;34600.0
