time(ms);FP;FP(%);FPL_CMD;FRP_A(kPa);FRP_A(kPa);FRP_A_CMD(kPa);LP_FUEL_SW;FLPA(kPa);FLP_DSD(kPa);FLP_V(V);FP_RELAY;FRP(kPa);FRP_DSD(kPa);RPM(1/min);FPM(%);FPM_STAT;FRP_ABS(kPa);FRP_V(V);FRT(°C);FRT_V(V);FUELMON_RDY;F_PCV(%);F_VCV(%);F_VCV_CUR(A);F_VCV_FLT
472;On;31.87;Off;30096.0;30060.0;30010.0;Not Low;414.5;597.0;2.16;On;30060.0;30030.0;600;40.48;No Fault;-;-;-;-;-;-;-;-;-
502;On;31.87;Off;30096.0;30060.0;30010.0;Not Low;414.5;597.0;2.16;On;30060.0;30030.0;600;40.47;No Fault;30060.0;-;-;-;-;-;-;-;-
531;On;31.87;Off;30096.0;30060.0;30010.0;Not Low;414.5;597.0;2.16;On;30060.0;30030.0;600;40.47;No Fault;30060.0;0.66;-;-;-;-;-;-;-
576;On;31.87;Off;30104.0;30060.0;30010.0;Not Low;414.5;594.0;2.16;On;30060.0;30030.0;599;40.47;No Fault;30060.0;0.66;45;-;-;-;-;-;-
606;On;31.87;Off;30104.0;30060.0;30010.0;Not Low;414.0;594.0;2.16;On;30060.0;30030.0;599;40.47;No Fault;30060.0;0.66;45;1.53;-;-;-;-;-
636;On;31.87;Off;30112.0;30060.0;30010.0;Not Low;414.0;594.0;2.16;On;30060.0;30030.0;598;40.47;No Fault;30060.0;0.66;45;1.53;No;-;-;-;-
682;On;31.87;Off;30112.0;30060.0;30010.0;Not Low;414.0;594.0;2.16;On;30060.0;30020.0;598;40.47;No Fault;30060.0;0.66;45;1.53;No;35.29;-;-;-
712;On;31.87;Off;30120.0;30060.0;30010.0;Not Low;414.0;594.0;2.16;On;30060.0;30020.0;598;40.47;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;-;-
742;On;31.87;Off;30120.0;30060.0;30010.0;Not Low;414.0;591.0;2.16;On;30060.0;30020.0;597;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.64;-
772;On;31.87;Off;30128.0;30060.0;30010.0;Not Low;414.0;591.0;2.16;On;30060.0;30020.0;596;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.64;No Fault
816;On;31.87;Off;30128.0;30060.0;30010.0;Not Low;414.0;591.0;2.16;On;30060.0;30020.0;596;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
862;On;31.87;Off;30136.0;30060.0;30010.0;Not Low;414.0;591.0;2.16;On;30060.0;30010.0;596;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
892;On;31.87;Off;30136.0;30060.0;30010.0;Not Low;414.0;591.0;2.16;On;30060.0;30010.0;595;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
922;On;31.87;Off;30112.0;30060.0;30000.0;Not Low;414.0;591.0;2.16;On;30060.0;30010.0;595;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
968;On;31.87;Off;30096.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30060.0;30010.0;594;40.46;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
996;On;31.87;Off;30072.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30060.0;30010.0;594;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
1055;On;31.87;Off;30048.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30060.0;30010.0;593;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
1101;On;31.87;Off;30032.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30060.0;30000.0;593;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.63;No Fault
1147;On;31.87;Off;30008.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30060.0;30000.0;592;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1177;On;31.87;Off;29984.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30040.0;30000.0;592;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1222;On;31.87;Off;29968.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30020.0;30000.0;592;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1267;On;31.87;Off;29944.0;30060.0;30000.0;Not Low;414.0;588.0;2.16;On;30010.0;30000.0;592;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1297;On;31.87;Off;29920.0;30060.0;30000.0;Not Low;414.0;591.0;2.16;On;29990.0;30000.0;592;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1355;On;31.87;Off;29896.0;30060.0;30000.0;Not Low;414.0;591.0;2.15;On;29970.0;30000.0;592;40.45;No Fault;30060.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1401;On;31.87;Off;29880.0;30060.0;30000.0;Not Low;414.0;591.0;2.15;On;29950.0;30000.0;592;40.45;No Fault;30040.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1432;On;31.87;Off;29856.0;30060.0;30000.0;Not Low;414.0;591.0;2.15;On;29940.0;30000.0;593;40.45;No Fault;30020.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1477;On;31.87;Off;29832.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29920.0;30000.0;593;40.45;No Fault;30010.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1522;On;31.87;Off;29816.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29900.0;30000.0;593;40.45;No Fault;29990.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1567;On;31.87;Off;29792.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29880.0;30000.0;593;40.46;No Fault;29970.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1597;On;31.87;Off;29768.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29870.0;30000.0;594;40.46;No Fault;29950.0;0.66;45;1.53;No;35.29;46.67;1.61;No Fault
1642;On;31.87;Off;29752.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29850.0;30000.0;594;40.46;No Fault;29940.0;0.66;45;1.53;No;35.29;46.67;1.61;No Fault
1672;On;31.87;Off;29728.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29830.0;30000.0;594;40.46;No Fault;29920.0;0.66;45;1.53;No;35.29;46.67;1.61;No Fault
1702;On;31.87;Off;29704.0;30060.0;30000.0;Not Low;413.5;591.0;2.15;On;29810.0;30000.0;594;40.46;No Fault;29900.0;0.66;45;1.53;No;35.29;46.67;1.61;No Fault
1732;On;31.87;Off;29688.0;30060.0;30000.0;Not Low;413.5;594.0;2.15;On;29790.0;30000.0;594;40.46;No Fault;29880.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1777;On;31.87;Off;29664.0;30060.0;30000.0;Not Low;413.5;594.0;2.15;On;29780.0;30000.0;595;40.46;No Fault;29870.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1821;On;31.87;Off;29688.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29760.0;30000.0;595;40.47;No Fault;29850.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1868;On;31.87;Off;29704.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29740.0;30000.0;595;40.47;No Fault;29830.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1912;On;31.87;Off;29728.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29720.0;30000.0;595;40.47;No Fault;29810.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1942;On;31.87;Off;29752.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29710.0;30000.0;596;40.47;No Fault;29790.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
1972;On;31.87;Off;29768.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29690.0;30000.0;596;40.47;No Fault;29780.0;0.66;45;1.53;No;35.29;46.67;1.62;No Fault
2002;On;31.87;Off;29792.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29670.0;30000.0;596;40.47;No Fault;29760.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2032;On;31.87;Off;29816.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29690.0;30000.0;596;40.47;No Fault;29740.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2077;On;31.87;Off;29832.0;29750.0;30000.0;Not Low;413.5;594.0;2.15;On;29710.0;30000.0;596;40.48;No Fault;29720.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2122;On;31.87;Off;29856.0;29750.0;30000.0;Not Low;414.0;594.0;2.15;On;29730.0;30000.0;597;40.48;No Fault;29710.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2167;On;31.87;Off;29880.0;29750.0;30000.0;Not Low;414.0;597.0;2.15;On;29760.0;30000.0;597;40.48;No Fault;29690.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2197;On;31.87;Off;29904.0;29750.0;30000.0;Not Low;414.0;597.0;2.15;On;29780.0;30000.0;597;40.47;No Fault;29670.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2226;On;31.87;Off;29920.0;29750.0;30000.0;Not Low;414.0;597.0;2.15;On;29800.0;30000.0;597;40.47;No Fault;29690.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2273;On;31.87;Off;29944.0;29750.0;30000.0;Not Low;414.0;597.0;2.15;On;29820.0;30000.0;598;40.47;No Fault;29710.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2303;On;31.87;Off;29968.0;29750.0;30000.0;Not Low;414.0;597.0;2.16;On;29840.0;30000.0;598;40.47;No Fault;29720.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2363;On;31.87;Off;29984.0;29750.0;30000.0;Not Low;414.0;597.0;2.16;On;29860.0;30000.0;598;40.47;No Fault;29740.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2392;On;31.87;Off;30008.0;29750.0;30000.0;Not Low;414.0;597.0;2.16;On;29880.0;30000.0;598;40.47;No Fault;29760.0;0.66;45;1.53;No;35.29;46.27;1.63;No Fault
2423;On;31.87;Off;30032.0;29750.0;30000.0;Not Low;414.0;597.0;2.16;On;29910.0;30000.0;598;40.47;No Fault;29780.0;0.66;45;1.53;No;35.29;46.27;1.63;No Fault
2483;On;31.87;Off;30048.0;29750.0;30000.0;Not Low;414.0;597.0;2.16;On;29930.0;30000.0;598;40.47;No Fault;29790.0;0.66;45;1.53;No;35.29;46.27;1.63;No Fault
2513;On;31.87;Off;30072.0;29750.0;30000.0;Not Low;414.0;597.0;2.16;On;29950.0;30000.0;598;40.47;No Fault;29810.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2573;On;31.87;Off;30096.0;29750.0;30000.0;Not Low;414.5;597.0;2.16;On;29970.0;30000.0;599;40.47;No Fault;29830.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2603;On;31.87;Off;30112.0;29750.0;30000.0;Not Low;414.5;600.0;2.16;On;29990.0;30000.0;599;40.47;No Fault;29850.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2633;On;31.87;Off;30136.0;29750.0;30000.0;Not Low;414.5;600.0;2.16;On;30010.0;30000.0;599;40.46;No Fault;29860.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2678;On;31.87;Off;30136.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30030.0;30000.0;599;40.46;No Fault;29880.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2724;On;31.87;Off;30128.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30050.0;30000.0;600;40.46;No Fault;29900.0;0.66;45;1.53;No;35.29;46.27;1.62;No Fault
2768;On;31.87;Off;30128.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30080.0;30000.0;600;40.46;No Fault;29920.0;0.66;45;1.54;No;35.29;46.27;1.61;No Fault
2798;On;31.87;Off;30120.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30100.0;30000.0;600;40.46;No Fault;29940.0;0.66;45;1.54;No;35.29;46.27;1.61;No Fault
2841;On;31.87;Off;30120.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30120.0;30000.0;600;40.46;No Fault;29950.0;0.66;45;1.54;No;35.29;46.27;1.61;No Fault
2873;On;31.87;Off;30112.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30140.0;30000.0;600;40.46;No Fault;29970.0;0.66;45;1.54;No;35.29;46.27;1.61;No Fault
2918;On;31.87;Off;30112.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30140.0;30000.0;600;40.46;No Fault;29990.0;0.66;45;1.54;No;35.29;46.27;1.61;No Fault
2963;On;31.87;Off;30104.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30130.0;30000.0;600;40.46;No Fault;30010.0;0.66;45;1.54;No;35.29;46.27;1.60;No Fault
2993;On;31.87;Off;30104.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30130.0;30000.0;600;40.46;No Fault;30020.0;0.66;45;1.54;No;35.29;46.27;1.60;No Fault
3023;On;31.87;Off;30096.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30130.0;30000.0;600;40.46;No Fault;30040.0;0.66;45;1.54;No;35.29;46.27;1.60;No Fault
3068;On;31.87;Off;30096.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30120.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.60;No Fault
3098;On;31.87;Off;30096.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30120.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.59;No Fault
3128;On;31.87;Off;30088.0;30140.0;30000.0;Not Low;414.5;600.0;2.16;On;30110.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.59;No Fault
3173;On;31.87;Off;30088.0;30140.0;30000.0;Not Low;414.0;600.0;2.16;On;30110.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.59;No Fault
3217;On;31.87;Off;30080.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30110.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.59;No Fault
3263;On;31.87;Off;30080.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30100.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.59;No Fault
3293;On;31.87;Off;30072.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30100.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.59;No Fault
3323;On;31.87;Off;30072.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30100.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3382;On;31.87;Off;30064.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30090.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3412;On;31.87;Off;30064.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30090.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3443;On;31.87;Off;30056.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30090.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3473;On;31.87;Off;30056.0;30140.0;30000.0;Not Low;414.0;600.0;2.15;On;30080.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3518;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;600.0;2.15;On;30080.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3563;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;600.0;2.15;On;30070.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3593;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;600.0;2.15;On;30070.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3638;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;600.0;2.15;On;30070.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3668;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;600.0;2.15;On;30060.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.27;1.58;No Fault
3698;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;600.0;2.15;On;30060.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3743;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;603.0;2.15;On;30080.0;30000.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3773;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;603.0;2.15;On;30100.0;30020.0;600;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3803;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;603.0;2.15;On;30120.0;30040.0;601;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3833;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;603.0;2.15;On;30130.0;30060.0;602;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3878;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;603.0;2.15;On;30150.0;30080.0;602;40.46;No Fault;30060.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3922;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;603.0;2.15;On;30170.0;30100.0;603;40.46;No Fault;30080.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
3954;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;414.0;606.0;2.15;On;30190.0;30120.0;604;40.46;No Fault;30100.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
3985;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;606.0;2.15;On;30210.0;30140.0;604;40.47;No Fault;30130.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4013;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;606.0;2.15;On;30230.0;30160.0;605;40.47;No Fault;30150.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4043;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;606.0;2.15;On;30250.0;30180.0;606;40.47;No Fault;30170.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4073;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;606.0;2.15;On;30270.0;30200.0;607;40.47;No Fault;30190.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4103;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;609.0;2.15;On;30280.0;30220.0;607;40.47;No Fault;30220.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4133;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;609.0;2.15;On;30300.0;30240.0;608;40.48;No Fault;30240.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4178;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;609.0;2.15;On;30320.0;30260.0;609;40.48;No Fault;30260.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4223;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;609.0;2.15;On;30340.0;30280.0;609;40.48;No Fault;30280.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4254;On;31.87;Off;30056.0;30060.0;30040.0;Not Low;413.5;609.0;2.15;On;30360.0;30300.0;610;40.48;No Fault;30310.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4299;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.15;On;30380.0;30320.0;611;40.48;No Fault;30330.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4359;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;612.0;2.15;On;30400.0;30340.0;612;40.48;No Fault;30350.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4402;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;612.0;2.16;On;30410.0;30360.0;612;40.48;No Fault;30370.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4433;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;612.0;2.16;On;30430.0;30380.0;613;40.49;No Fault;30390.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4478;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;612.0;2.16;On;30450.0;30400.0;614;40.49;No Fault;30420.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4523;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;612.0;2.16;On;30470.0;30420.0;614;40.49;No Fault;30440.0;0.66;45;1.54;No;35.29;46.67;1.57;No Fault
4583;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;612.0;2.16;On;30450.0;30440.0;615;40.49;No Fault;30460.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4613;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.16;On;30430.0;30430.0;616;40.49;No Fault;30480.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4643;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.16;On;30410.0;30420.0;615;40.50;No Fault;30510.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4673;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.16;On;30400.0;30400.0;615;40.50;No Fault;30530.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4703;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.16;On;30380.0;30390.0;614;40.49;No Fault;30550.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4733;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.16;On;30360.0;30380.0;614;40.49;No Fault;30550.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4778;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;413.5;609.0;2.16;On;30340.0;30370.0;614;40.49;No Fault;30540.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4808;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;609.0;2.16;On;30320.0;30360.0;613;40.49;No Fault;30540.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4838;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30300.0;30350.0;613;40.49;No Fault;30540.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4868;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30280.0;30330.0;612;40.49;No Fault;30530.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4898;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30260.0;30320.0;612;40.48;No Fault;30530.0;0.66;45;1.54;No;35.29;46.67;1.58;No Fault
4942;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30250.0;30310.0;612;40.48;No Fault;30520.0;0.67;45;1.54;No;35.29;46.67;1.58;No Fault
4973;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30230.0;30300.0;611;40.48;No Fault;30520.0;0.67;45;1.54;No;35.29;46.67;1.58;No Fault
5003;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30210.0;30290.0;611;40.48;No Fault;30520.0;0.67;45;1.54;No;35.29;46.67;1.58;No Fault
5033;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30190.0;30270.0;610;40.48;No Fault;30510.0;0.67;45;1.54;No;35.29;46.67;1.59;No Fault
5078;On;31.87;Off;30056.0;29670.0;30000.0;Not Low;414.0;606.0;2.16;On;30170.0;30260.0;610;40.48;No Fault;30510.0;0.67;45;1.54;No;35.29;46.67;1.59;No Fault
5108;On;31.87;Off;30056.0;30060.0;30210.0;Not Low;414.0;603.0;2.16;On;30150.0;30250.0;610;40.48;No Fault;30510.0;0.67;45;1.54;No;35.29;46.67;1.59;No Fault
5153;On;31.87;Off;30056.0;30060.0;30210.0;Not Low;414.0;603.0;2.16;On;30130.0;30240.0;609;40.48;No Fault;30500.0;0.67;45;1.54;No;35.29;46.67;1.59;No Fault
5184;On;31.87;Off;30056.0;30060.0;30210.0;Not Low;414.0;603.0;2.16;On;30120.0;30230.0;609;40.48;No Fault;30500.0;0.67;45;1.54;No;35.29;46.67;1.59;No Fault
