time(ms);FP;FP(%);FPL_CMD;FRP_A(kPa);FRP_A(kPa);FRP_A_CMD(kPa);LP_FUEL_SW;FLPA(kPa);FLP_DSD(kPa);FLP_V(V);FP_RELAY;FRP(kPa);FRP_DSD(kPa);RPM(1/min);FPM(%);FPM_STAT;FRP_ABS(kPa);FRP_V(V);FRT(°C);FRT_V(V);FUELMON_RDY;F_PCV(%);F_VCV(%);F_VCV_CUR(A);F_VCV_FLT
0;On;31.87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
109;On;31.87;Off;-;-;-;-;-;-;-;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
142;On;31.87;Off;30056.0;-;-;-;-;-;-;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
172;On;31.87;Off;30056.0;30060.0;30010.0;-;-;-;-;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
203;On;31.87;Off;30064.0;30060.0;30010.0;Not Low;-;-;-;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
232;On;31.87;Off;30064.0;30060.0;30010.0;Not Low;414.5;-;-;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
262;On;31.87;Off;30072.0;30060.0;30010.0;Not Low;414.5;600.0;-;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
292;On;31.87;Off;30072.0;30060.0;30010.0;Not Low;414.5;600.0;2.16;On;-;-;-;-;-;-;-;-;-;-;-;-;-;-
322;On;31.87;Off;30080.0;30060.0;30010.0;Not Low;414.5;600.0;2.16;On;30060.0;-;-;-;-;-;-;-;-;-;-;-;-;-
367;On;31.87;Off;30080.0;30060.0;30010.0;Not Low;414.5;597.0;2.16;On;30060.0;30040.0;-;-;-;-;-;-;-;-;-;-;-;-
397;On;31.87;Off;30088.0;30060.0;30010.0;Not Low;414.5;597.0;2.16;On;30060.0;30040.0;602;-;-;-;-;-;-;-;-;-;-;-
427;On;31.87;Off;30088.0;30060.0;30010.0;Not Low;414.5;597.0;2.16;On;30060.0;30040.0;601;40.48;-;-;-;-;-;-;-;-;-;-
